"gvkey","iid","datadate","conm","cshoc","cshtrd","prccd","isin","fic","sic","Month","ILLIQ",,
8546,"01W",20001201,"PHILIPS ELECTRONICS (KON) NV",1316070392,17769650,41,"NL0000009538","NLD",3600,200012,0,,
8546,"01W",20001204,"PHILIPS ELECTRONICS (KON) NV",1316070392,12786160,39.95,"NL0000009538","NLD",3600,200012,0.002055571,,
8546,"01W",20001205,"PHILIPS ELECTRONICS (KON) NV",1316070392,19133610,43.25,"NL0000009538","NLD",3600,200012,0.003987777,,
8546,"01W",20001206,"PHILIPS ELECTRONICS (KON) NV",1316070392,42186200,44.99,"NL0000009538","NLD",3600,200012,0.000916775,,
8546,"01W",20001207,"PHILIPS ELECTRONICS (KON) NV",1316070392,20017100,43.36,"NL0000009538","NLD",3600,200012,0.001878007,,
8546,"01W",20001208,"PHILIPS ELECTRONICS (KON) NV",1316070392,25800300,44.3,"NL0000009538","NLD",3600,200012,0.000822431,,
8546,"01W",20001211,"PHILIPS ELECTRONICS (KON) NV",1316070392,20221000,46.8,"NL0000009538","NLD",3600,200012,0.002641749,,
8546,"01W",20001212,"PHILIPS ELECTRONICS (KON) NV",1316070392,15104800,45.5,"NL0000009538","NLD",3600,200012,0.001891546,,
8546,"01W",20001213,"PHILIPS ELECTRONICS (KON) NV",1316070392,21836060,43.15,"NL0000009538","NLD",3600,200012,0.002494094,,
8546,"01W",20001214,"PHILIPS ELECTRONICS (KON) NV",1316070392,22469240,41.76,"NL0000009538","NLD",3600,200012,0.001481378,,
8546,"01W",20001215,"PHILIPS ELECTRONICS (KON) NV",1316070392,19710010,39.96,"NL0000009538","NLD",3600,200012,0.002285389,0.00185951972727273,
10846,"01W",20001201,"UNILEVER NV",571575900,238933,70.25,"NL0000388619","NLD",2000,200012,3.309494004,,
10846,"01W",20001204,"UNILEVER NV",571575900,2418,66.85,"NL0000388619","NLD",2000,200012,21.033968,,
10846,"01W",20001205,"UNILEVER NV",571575900,5110,69.4,"NL0000388619","NLD",2000,200012,7.190511908,,
10846,"01W",20001206,"UNILEVER NV",571575900,2865,66.7,"NL0000388619","NLD",2000,200012,14.12906112,,
10846,"01W",20001207,"UNILEVER NV",571575900,7757,64.85,"NL0000388619","NLD",2000,200012,3.677629348,,
10846,"01W",20001208,"UNILEVER NV",571575900,6392,65,"NL0000388619","NLD",2000,200012,0.361028208,8.28361543133333,
10846,"01W",20010102,"UNILEVER NV",571575900,2698,66.9,"NL0000388619","NLD",2000,200101,3.601183848,,
