gvkey,iid,datadate,conm,cshoc,cshtrd,prccd,isin,fic,sic,Month,ILLIQ
8546,01W,20001201,PHILIPS ELECTRONICS (KON) NV,1316070392,17769650,41,NL0000009538,NLD,3600,200012,
8546,01W,20001204,PHILIPS ELECTRONICS (KON) NV,1316070392,12786160,39.95,NL0000009538,NLD,3600,200012,0.002055571
8546,01W,20001205,PHILIPS ELECTRONICS (KON) NV,1316070392,19133610,43.25,NL0000009538,NLD,3600,200012,0.003987777
8546,01W,20001206,PHILIPS ELECTRONICS (KON) NV,1316070392,42186200,44.99,NL0000009538,NLD,3600,200012,0.000916775
8546,01W,20001207,PHILIPS ELECTRONICS (KON) NV,1316070392,20017100,43.36,NL0000009538,NLD,3600,200012,0.001878007
8546,01W,20001208,PHILIPS ELECTRONICS (KON) NV,1316070392,25800300,44.3,NL0000009538,NLD,3600,200012,0.000822431
8546,01W,20001211,PHILIPS ELECTRONICS (KON) NV,1316070392,20221000,46.8,NL0000009538,NLD,3600,200012,0.002641749
8546,01W,20001212,PHILIPS ELECTRONICS (KON) NV,1316070392,15104800,45.5,NL0000009538,NLD,3600,200012,0.001891546
8546,01W,20001213,PHILIPS ELECTRONICS (KON) NV,1316070392,21836060,43.15,NL0000009538,NLD,3600,200012,0.002494094
8546,01W,20001214,PHILIPS ELECTRONICS (KON) NV,1316070392,22469240,41.76,NL0000009538,NLD,3600,200012,0.001481378
8546,01W,20001215,PHILIPS ELECTRONICS (KON) NV,1316070392,19710010,39.96,NL0000009538,NLD,3600,200012,0.002285389
8546,01W,20001218,PHILIPS ELECTRONICS (KON) NV,1316070392,23274730,40,NL0000009538,NLD,3600,200012,4.29651E-05
8546,01W,20001219,PHILIPS ELECTRONICS (KON) NV,1316070392,31731840,39.85,NL0000009538,NLD,3600,200012,0.000118623
8546,01W,20001220,PHILIPS ELECTRONICS (KON) NV,1316070392,27312430,36.1,NL0000009538,NLD,3600,200012,0.003803328
8546,01W,20001221,PHILIPS ELECTRONICS (KON) NV,1316070392,25969450,34.98,NL0000009538,NLD,3600,200012,0.001232922
8546,01W,20001222,PHILIPS ELECTRONICS (KON) NV,1316070392,10953940,36.86,NL0000009538,NLD,3600,200012,0.004656206
8546,01W,20001227,PHILIPS ELECTRONICS (KON) NV,1316070392,5664275,37.5,NL0000009538,NLD,3600,200012,0.003013036
8546,01W,20001228,PHILIPS ELECTRONICS (KON) NV,1316070392,8999659,37.75,NL0000009538,NLD,3600,200012,0.000735863
8546,01W,20001229,PHILIPS ELECTRONICS (KON) NV,1316070392,11922100,39.02,NL0000009538,NLD,3600,200012,0.002730007
8546,01W,20010102,PHILIPS ELECTRONICS (KON) NV,1316070392,17797600,37.65,NL0000009538,NLD,3600,200101,0.002044533
8546,01W,20010103,PHILIPS ELECTRONICS (KON) NV,1316070392,35185710,34.45,NL0000009538,NLD,3600,200101,0.002639942
8546,01W,20010104,PHILIPS ELECTRONICS (KON) NV,1316070392,43190670,39.25,NL0000009538,NLD,3600,200101,0.002831468
8546,01W,20010105,PHILIPS ELECTRONICS (KON) NV,1316070392,26282350,40.55,NL0000009538,NLD,3600,200101,0.001219799
8546,01W,20010108,PHILIPS ELECTRONICS (KON) NV,1316070392,19455260,41,NL0000009538,NLD,3600,200101,0.000564146
8546,01W,20010109,PHILIPS ELECTRONICS (KON) NV,1316070392,33827280,41.68,NL0000009538,NLD,3600,200101,0.000482297
8546,01W,20010110,PHILIPS ELECTRONICS (KON) NV,1316070392,14930880,41.2,NL0000009538,NLD,3600,200101,0.000780295
8546,01W,20010111,PHILIPS ELECTRONICS (KON) NV,1316070392,15373380,42.15,NL0000009538,NLD,3600,200101,0.001466077
